mass_A
t	x	y
0,000000000E0	1,037546040E-3	3,708663953E-1
3,336666667E-2	1,238709724E-3	3,709362795E-1
6,673333333E-2	4,285617731E-3	3,697276591E-1
1,001000000E-1	1,425086980E-2	3,578287773E-1
1,334666667E-1	2,656642340E-2	3,488891108E-1
1,668333333E-1	4,299559743E-2	3,472126985E-1
2,002000000E-1	6,235541263E-2	3,357695587E-1
2,335666667E-1	8,917996503E-2	3,180032561E-1
2,669333333E-1	1,154520578E-1	3,046897953E-1
3,003000000E-1	1,480659268E-1	2,934838048E-1
3,336666667E-1	1,827187942E-1	2,853281070E-1
3,670333333E-1	2,189240420E-1	2,832271336E-1
4,004000000E-1	2,560638513E-1	2,856311730E-1
4,337666667E-1	2,909887815E-1	2,910995702E-1
4,671333333E-1	3,216975640E-1	2,970668620E-1
5,005000000E-1	3,539458563E-1	3,005453332E-1
5,338666667E-1	3,874240679E-1	3,026026299E-1
5,672333333E-1	4,174477539E-1	2,958681255E-1
6,006000000E-1	4,489667699E-1	2,882143599E-1
6,339666667E-1	4,834128584E-1	2,767477981E-1
6,673333333E-1	5,201623495E-1	2,662382256E-1
7,007000000E-1	5,605505242E-1	2,611304768E-1
7,340666667E-1	6,014763738E-1	2,559732724E-1
7,674333333E-1	6,412286465E-1	2,584906154E-1
8,008000000E-1	6,800057084E-1	2,637141992E-1
8,341666667E-1	7,176382386E-1	2,664668739E-1
8,675333333E-1	7,553157366E-1	2,674399327E-1
9,009000000E-1	7,959981237E-1	2,685978602E-1
9,342666667E-1	8,314539904E-1	2,522447842E-1
9,676333333E-1	8,727511621E-1	2,391356417E-1
1,001000000E0	9,189149025E-1	2,332975061E-1
1,034366667E0	9,643452859E-1	2,246168195E-1
1,067733333E0	1,009856692E0	2,212644331E-1
1,101100000E0	1,054321689E0	2,372840699E-1
1,134466667E0	1,093585724E0	2,517070514E-1
1,167833333E0	1,129237469E0	2,612174857E-1
1,201200000E0	1,168296602E0	2,735689161E-1
1,234566667E0	1,202505434E0	2,703476576E-1
1,267933333E0	1,242379457E0	2,758169061E-1
1,301300000E0	1,280283210E0	2,660657596E-1
1,334666667E0	1,320860431E0	2,578641405E-1
1,368033333E0	1,361927478E0	2,448140889E-1
1,401400000E0	1,401548287E0	2,259968955E-1
