mass_A
t	x	y
0,000000000E0	8,995679093E-4	3,705148872E-1
3,336666667E-2	3,519806549E-3	3,696102431E-1
6,673333333E-2	9,004865288E-3	3,679714724E-1
1,001000000E-1	1,827567056E-2	3,575828166E-1
1,334666667E-1	3,338055147E-2	3,510615162E-1
1,668333333E-1	5,087635761E-2	3,408856454E-1
2,002000000E-1	7,192894164E-2	3,270385934E-1
2,335666667E-1	9,669889355E-2	3,145651762E-1
2,669333333E-1	1,261698606E-1	3,027933112E-1
3,003000000E-1	1,587967936E-1	2,919910821E-1
3,336666667E-1	1,948479511E-1	2,871666844E-1
3,670333333E-1	2,307390520E-1	2,863648422E-1
4,004000000E-1	2,661458754E-1	2,909484951E-1
4,337666667E-1	3,005720263E-1	2,956723601E-1
4,671333333E-1	3,330038221E-1	3,009576537E-1
5,005000000E-1	3,652214868E-1	3,036576148E-1
5,338666667E-1	3,966229822E-1	3,037541832E-1
5,672333333E-1	4,295929639E-1	2,977772188E-1
6,006000000E-1	4,625849607E-1	2,878163217E-1
6,339666667E-1	4,980743682E-1	2,770826342E-1
6,673333333E-1	5,354261691E-1	2,672807185E-1
7,007000000E-1	5,758787448E-1	2,603126874E-1
7,340666667E-1	6,163718192E-1	2,609467519E-1
7,674333333E-1	6,564980232E-1	2,648290806E-1
8,008000000E-1	6,959010509E-1	2,683787054E-1
8,341666667E-1	7,347351557E-1	2,710129123E-1
8,675333333E-1	7,734583190E-1	2,692790460E-1
9,009000000E-1	8,121365439E-1	2,623817378E-1
9,342666667E-1	8,512813600E-1	2,501332523E-1
9,676333333E-1	8,929207029E-1	2,362589659E-1
1,001000000E0	9,377354241E-1	2,257133949E-1
1,034366667E0	9,855735297E-1	2,234376789E-1
1,067733333E0	1,031756832E0	2,302772574E-1
1,101100000E0	1,074487227E0	2,423622975E-1
1,134466667E0	1,113465970E0	2,553599035E-1
1,167833333E0	1,151119103E0	2,664671919E-1
1,201200000E0	1,188397089E0	2,728221467E-1
1,234566667E0	1,226023411E0	2,728704070E-1
1,267933333E0	1,263385692E0	2,634935977E-1
1,301300000E0	1,302207628E0	2,585209590E-1
1,334666667E0	1,341935927E0	2,465642395E-1
1,368033333E0	1,384670152E0	2,333803636E-1
