mass_A
t	x	y
0,000	5,111E-4	0,371
0,033	4,808E-3	0,370
0,067	1,254E-2	0,366
0,100	2,374E-2	0,354
0,133	3,866E-2	0,347
0,167	5,664E-2	0,338
0,200	7,883E-2	0,323
0,234	0,105	0,310
0,267	0,135	0,299
0,300	0,169	0,288
0,334	0,205	0,285
0,367	0,242	0,285
0,400	0,278	0,290
0,434	0,312	0,296
0,467	0,345	0,301
0,500	0,377	0,302
0,534	0,410	0,301
0,567	0,443	0,294
0,601	0,477	0,284
0,634	0,513	0,272
0,667	0,552	0,263
0,701	0,592	0,260
0,734	0,634	0,260
0,767	0,674	0,265
0,801	0,714	0,268
0,834	0,752	0,271
0,868	0,791	0,268
0,901	0,830	0,256
0,934	0,870	0,244
0,968	0,914	0,231
1,001	0,960	0,222
1,034	1,007	0,222
1,068	1,053	0,234
1,101	1,095	0,249
1,134	1,134	0,263
1,168	1,173	0,271
1,201	1,209	0,274
1,235	1,248	0,272
1,268	1,286	0,265
1,301	1,326	0,255
1,335	1,367	0,241
1,368	1,411	0,229
1,401	1,456	0,212
